from,to,distance
017,025,0.157969
004,007,0.267020
005,009,0.268342
020,021,0.268787
006,010,0.277391
018,025,0.277463
006,013,0.347496
008,022,0.358650
016,023,0.384466
015,019,0.396816
017,023,0.406932
007,013,0.426598
016,019,0.467444
003,011,0.601128
006,018,0.626628
011,015,0.656461
016,020,0.741228
006,009,1.033905
005,012,1.041151
010,014,1.753611
022,024,3.415879
001,002,3.450546
008,012,4.142277
002,014,7.141066
